"","primer","sample","reads","Phylum","Class","Order","Family","Genus","genus","Species","amplicon","id","species_name","level_taxon","target","all_reads","reads_unass","assigned_reads","prop_reads_ass","prop_tot_reads"
"382","metazoan_NS","580_1",17453,"Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus","cynoglossus","short","94","Glyptocephalus cynoglossus","species","Roundfish",144579,86732,57847,0.301709682438156,0.120716009932286
"383","metazoan_NS","580_1",274,"Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus","hippoglossus","short","94","Hippoglossus hippoglossus","species","Roundfish",144579,86732,57847,0.00473663284180684,0.00189515766466776
"384","metazoan_NS","585_1",938,"Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides","platessoides","short","94","Hippoglossoides platessoides","species","Roundfish",7617,6677,940,0.997872340425532,0.123145595378758
"385","metazoan_NS","538_1",243,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Roundfish",238621,147790,90831,0.00267529808105162,0.00101835127671077
"386","metazoan_NS","538_2",85,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Roundfish",103335,58154,45181,0.00188132179455966,0.000822567377945517
"387","metazoan_NS","538_3",114,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Roundfish",64923,46940,17983,0.00633932046933215,0.00175592625109745
"388","metazoan_NS","544_2",89,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Roundfish",32816,14855,17961,0.00495518066922777,0.00271209166260361
"389","metazoan_NS","549_3",141,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Nephrops",93217,47725,45492,0.00309944605644949,0.00151259963311413
"390","metazoan_NS","559_1",326,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Nephrops",209496,101615,107881,0.00302184814749585,0.00155611562989269
"391","metazoan_NS","564_1",204,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Roundfish",28016,11059,16957,0.0120304299109512,0.00728155339805825
"392","metazoan_NS","569_1",425,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Nephrops",85515,54139,31376,0.0135453850076492,0.0049698883236859
"393","metazoan_NS","569_2",397,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Nephrops",45555,24196,21359,0.0185870125005852,0.0087147404236637
"394","metazoan_NS","569_3",202,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Nephrops",65272,61035,4237,0.0476752419164503,0.00309474200269641
"395","metazoan_NS","580_1",1416,"Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius","piscatorius","short","94","Lophius piscatorius","species","Roundfish",144579,86732,57847,0.0244783653430601,0.00979395347872098
"396","metazoan_NS","544_1",135,"Chordata","Actinopteri","Perciformes","Triglidae","Eutrigla","Eutrigla","gurnardus","short","94","Eutrigla gurnardus","species","Roundfish",129539,74242,55297,0.00244136209920972,0.00104215718818271
"397","metazoan_NS","549_1",328,"Chordata","Actinopteri","Perciformes","Triglidae","Eutrigla","Eutrigla","gurnardus","short","94","Eutrigla gurnardus","species","Nephrops",98793,50016,48777,0.00672448080037723,0.00332007328454445
"398","metazoan_NS","549_2",75,"Chordata","Actinopteri","Perciformes","Triglidae","Eutrigla","Eutrigla","gurnardus","short","94","Eutrigla gurnardus","species","Nephrops",53946,31718,22228,0.0033741227280907,0.00139027916805695
"399","metazoan_NS","549_3",139,"Chordata","Actinopteri","Perciformes","Triglidae","Eutrigla","Eutrigla","gurnardus","short","94","Eutrigla gurnardus","species","Nephrops",93217,47725,45492,0.00305548228259914,0.00149114431916925
"400","metazoan_NS","559_1",233,"Chordata","Actinopteri","Perciformes","Triglidae","Eutrigla","Eutrigla","gurnardus","short","94","Eutrigla gurnardus","species","Nephrops",209496,101615,107881,0.00215978717290348,0.00111219307289877
